# Expected atlas validation projection — snapshot from commit adb65a7 (Day 13).
# Columns: litmus,model,expected,actual,match  (timing/size columns dropped — non-deterministic).
# Headline: 190 compared cells, 190 matched, 0 mismatched; 10 UNKNOWN cells are recorded match=n/a.
# reproduce.sh diffs this against eval/consistency-validation.csv projected the same way.
2+2W+sync,PSO,FORBIDDEN,FORBIDDEN,true
2+2W+sync,RA,ALLOWED,ALLOWED,true
2+2W+sync,SC,FORBIDDEN,FORBIDDEN,true
2+2W+sync,TSO,FORBIDDEN,FORBIDDEN,true
2+2W+sync,WEAKEST,ALLOWED,ALLOWED,true
2+2W,PSO,ALLOWED,ALLOWED,true
2+2W,RA,ALLOWED,ALLOWED,true
2+2W,SC,FORBIDDEN,FORBIDDEN,true
2+2W,TSO,FORBIDDEN,FORBIDDEN,true
2+2W,WEAKEST,ALLOWED,ALLOWED,true
3.2W,PSO,ALLOWED,ALLOWED,true
3.2W,RA,ALLOWED,ALLOWED,true
3.2W,SC,FORBIDDEN,FORBIDDEN,true
3.2W,TSO,FORBIDDEN,FORBIDDEN,true
3.2W,WEAKEST,ALLOWED,ALLOWED,true
3.LB,PSO,FORBIDDEN,FORBIDDEN,true
3.LB,RA,ALLOWED,ALLOWED,true
3.LB,SC,FORBIDDEN,FORBIDDEN,true
3.LB,TSO,FORBIDDEN,FORBIDDEN,true
3.LB,WEAKEST,ALLOWED,ALLOWED,true
3.LBdep-fake,PSO,FORBIDDEN,FORBIDDEN,true
3.LBdep-fake,RA,ALLOWED,ALLOWED,true
3.LBdep-fake,SC,FORBIDDEN,FORBIDDEN,true
3.LBdep-fake,TSO,FORBIDDEN,FORBIDDEN,true
3.LBdep-fake,WEAKEST,ALLOWED,ALLOWED,true
3.LBdep-real,PSO,FORBIDDEN,FORBIDDEN,true
3.LBdep-real,RA,ALLOWED,ALLOWED,true
3.LBdep-real,SC,FORBIDDEN,FORBIDDEN,true
3.LBdep-real,TSO,FORBIDDEN,FORBIDDEN,true
3.LBdep-real,WEAKEST,FORBIDDEN,FORBIDDEN,true
3.SB,PSO,UNKNOWN,ALLOWED,n/a
3.SB,RA,UNKNOWN,ALLOWED,n/a
3.SB,SC,FORBIDDEN,FORBIDDEN,true
3.SB,TSO,UNKNOWN,ALLOWED,n/a
3.SB,WEAKEST,ALLOWED,ALLOWED,true
6.SB,PSO,UNKNOWN,ALLOWED,n/a
6.SB,RA,UNKNOWN,ALLOWED,n/a
6.SB,SC,FORBIDDEN,FORBIDDEN,true
6.SB,TSO,UNKNOWN,ALLOWED,n/a
6.SB,WEAKEST,ALLOWED,ALLOWED,true
CAS-pair,PSO,FORBIDDEN,FORBIDDEN,true
CAS-pair,RA,FORBIDDEN,FORBIDDEN,true
CAS-pair,SC,FORBIDDEN,FORBIDDEN,true
CAS-pair,TSO,FORBIDDEN,FORBIDDEN,true
CAS-pair,WEAKEST,FORBIDDEN,FORBIDDEN,true
CO-IRIW,PSO,FORBIDDEN,FORBIDDEN,true
CO-IRIW,RA,ALLOWED,ALLOWED,true
CO-IRIW,SC,FORBIDDEN,FORBIDDEN,true
CO-IRIW,TSO,FORBIDDEN,FORBIDDEN,true
CO-IRIW,WEAKEST,ALLOWED,ALLOWED,true
CO-MP,PSO,FORBIDDEN,FORBIDDEN,true
CO-MP,RA,FORBIDDEN,FORBIDDEN,true
CO-MP,SC,FORBIDDEN,FORBIDDEN,true
CO-MP,TSO,FORBIDDEN,FORBIDDEN,true
CO-MP,WEAKEST,UNKNOWN,ALLOWED,n/a
CO-WRC,PSO,FORBIDDEN,FORBIDDEN,true
CO-WRC,RA,FORBIDDEN,FORBIDDEN,true
CO-WRC,SC,FORBIDDEN,FORBIDDEN,true
CO-WRC,TSO,FORBIDDEN,FORBIDDEN,true
CO-WRC,WEAKEST,ALLOWED,ALLOWED,true
CoRR,PSO,FORBIDDEN,FORBIDDEN,true
CoRR,RA,FORBIDDEN,FORBIDDEN,true
CoRR,SC,FORBIDDEN,FORBIDDEN,true
CoRR,TSO,FORBIDDEN,FORBIDDEN,true
CoRR,WEAKEST,FORBIDDEN,FORBIDDEN,true
CoRW,PSO,FORBIDDEN,FORBIDDEN,true
CoRW,RA,FORBIDDEN,FORBIDDEN,true
CoRW,SC,FORBIDDEN,FORBIDDEN,true
CoRW,TSO,FORBIDDEN,FORBIDDEN,true
CoRW,WEAKEST,FORBIDDEN,FORBIDDEN,true
CoWR,PSO,FORBIDDEN,FORBIDDEN,true
CoWR,RA,FORBIDDEN,FORBIDDEN,true
CoWR,SC,FORBIDDEN,FORBIDDEN,true
CoWR,TSO,FORBIDDEN,FORBIDDEN,true
CoWR,WEAKEST,FORBIDDEN,FORBIDDEN,true
CoWW,PSO,FORBIDDEN,FORBIDDEN,true
CoWW,RA,FORBIDDEN,FORBIDDEN,true
CoWW,SC,FORBIDDEN,FORBIDDEN,true
CoWW,TSO,FORBIDDEN,FORBIDDEN,true
CoWW,WEAKEST,FORBIDDEN,FORBIDDEN,true
IRIW+sync,PSO,FORBIDDEN,FORBIDDEN,true
IRIW+sync,RA,ALLOWED,ALLOWED,true
IRIW+sync,SC,FORBIDDEN,FORBIDDEN,true
IRIW+sync,TSO,FORBIDDEN,FORBIDDEN,true
IRIW+sync,WEAKEST,ALLOWED,ALLOWED,true
IRIW,PSO,FORBIDDEN,FORBIDDEN,true
IRIW,RA,ALLOWED,ALLOWED,true
IRIW,SC,FORBIDDEN,FORBIDDEN,true
IRIW,TSO,FORBIDDEN,FORBIDDEN,true
IRIW,WEAKEST,ALLOWED,ALLOWED,true
ISA2,PSO,ALLOWED,ALLOWED,true
ISA2,RA,ALLOWED,ALLOWED,true
ISA2,SC,FORBIDDEN,FORBIDDEN,true
ISA2,TSO,FORBIDDEN,FORBIDDEN,true
ISA2,WEAKEST,ALLOWED,ALLOWED,true
LB+ctrlfence,PSO,FORBIDDEN,FORBIDDEN,true
LB+ctrlfence,RA,FORBIDDEN,FORBIDDEN,true
LB+ctrlfence,SC,FORBIDDEN,FORBIDDEN,true
LB+ctrlfence,TSO,FORBIDDEN,FORBIDDEN,true
LB+ctrlfence,WEAKEST,ALLOWED,ALLOWED,true
LB,PSO,FORBIDDEN,FORBIDDEN,true
LB,RA,ALLOWED,ALLOWED,true
LB,SC,FORBIDDEN,FORBIDDEN,true
LB,TSO,FORBIDDEN,FORBIDDEN,true
LB,WEAKEST,ALLOWED,ALLOWED,true
LB-acqrel,PSO,FORBIDDEN,FORBIDDEN,true
LB-acqrel,RA,UNKNOWN,ALLOWED,n/a
LB-acqrel,SC,FORBIDDEN,FORBIDDEN,true
LB-acqrel,TSO,FORBIDDEN,FORBIDDEN,true
LB-acqrel,WEAKEST,ALLOWED,ALLOWED,true
LB-fake-dep,PSO,FORBIDDEN,FORBIDDEN,true
LB-fake-dep,RA,ALLOWED,ALLOWED,true
LB-fake-dep,SC,FORBIDDEN,FORBIDDEN,true
LB-fake-dep,TSO,FORBIDDEN,FORBIDDEN,true
LB-fake-dep,WEAKEST,ALLOWED,ALLOWED,true
LBdep-addr,PSO,FORBIDDEN,FORBIDDEN,true
LBdep-addr,RA,ALLOWED,ALLOWED,true
LBdep-addr,SC,FORBIDDEN,FORBIDDEN,true
LBdep-addr,TSO,FORBIDDEN,FORBIDDEN,true
LBdep-addr,WEAKEST,FORBIDDEN,FORBIDDEN,true
LBdep-fake,PSO,FORBIDDEN,FORBIDDEN,true
LBdep-fake,RA,ALLOWED,ALLOWED,true
LBdep-fake,SC,FORBIDDEN,FORBIDDEN,true
LBdep-fake,TSO,FORBIDDEN,FORBIDDEN,true
LBdep-fake,WEAKEST,ALLOWED,ALLOWED,true
LBdep-real,PSO,FORBIDDEN,FORBIDDEN,true
LBdep-real,RA,ALLOWED,ALLOWED,true
LBdep-real,SC,FORBIDDEN,FORBIDDEN,true
LBdep-real,TSO,FORBIDDEN,FORBIDDEN,true
LBdep-real,WEAKEST,FORBIDDEN,FORBIDDEN,true
MP+lwsync,PSO,FORBIDDEN,FORBIDDEN,true
MP+lwsync,RA,FORBIDDEN,FORBIDDEN,true
MP+lwsync,SC,FORBIDDEN,FORBIDDEN,true
MP+lwsync,TSO,FORBIDDEN,FORBIDDEN,true
MP+lwsync,WEAKEST,ALLOWED,ALLOWED,true
MP,PSO,ALLOWED,ALLOWED,true
MP,RA,ALLOWED,ALLOWED,true
MP,SC,FORBIDDEN,FORBIDDEN,true
MP,TSO,FORBIDDEN,FORBIDDEN,true
MP,WEAKEST,ALLOWED,ALLOWED,true
MP-acq,PSO,ALLOWED,ALLOWED,true
MP-acq,RA,ALLOWED,ALLOWED,true
MP-acq,SC,FORBIDDEN,FORBIDDEN,true
MP-acq,TSO,FORBIDDEN,FORBIDDEN,true
MP-acq,WEAKEST,ALLOWED,ALLOWED,true
MP-rel,PSO,ALLOWED,ALLOWED,true
MP-rel,RA,ALLOWED,ALLOWED,true
MP-rel,SC,FORBIDDEN,FORBIDDEN,true
MP-rel,TSO,FORBIDDEN,FORBIDDEN,true
MP-rel,WEAKEST,ALLOWED,ALLOWED,true
MP-relacq,PSO,FORBIDDEN,FORBIDDEN,true
MP-relacq,RA,FORBIDDEN,FORBIDDEN,true
MP-relacq,SC,FORBIDDEN,FORBIDDEN,true
MP-relacq,TSO,FORBIDDEN,FORBIDDEN,true
MP-relacq,WEAKEST,UNKNOWN,ALLOWED,n/a
OOTA-cycle,PSO,FORBIDDEN,FORBIDDEN,true
OOTA-cycle,RA,ALLOWED,ALLOWED,true
OOTA-cycle,SC,FORBIDDEN,FORBIDDEN,true
OOTA-cycle,TSO,FORBIDDEN,FORBIDDEN,true
OOTA-cycle,WEAKEST,ALLOWED,ALLOWED,true
R,PSO,ALLOWED,ALLOWED,true
R,RA,ALLOWED,ALLOWED,true
R,SC,FORBIDDEN,FORBIDDEN,true
R,TSO,ALLOWED,ALLOWED,true
R,WEAKEST,ALLOWED,ALLOWED,true
RMW-as-fence,PSO,FORBIDDEN,FORBIDDEN,true
RMW-as-fence,RA,ALLOWED,ALLOWED,true
RMW-as-fence,SC,FORBIDDEN,FORBIDDEN,true
RMW-as-fence,TSO,FORBIDDEN,FORBIDDEN,true
RMW-as-fence,WEAKEST,ALLOWED,ALLOWED,true
RWC,PSO,ALLOWED,ALLOWED,true
RWC,RA,UNKNOWN,ALLOWED,n/a
RWC,SC,FORBIDDEN,FORBIDDEN,true
RWC,TSO,ALLOWED,ALLOWED,true
RWC,WEAKEST,ALLOWED,ALLOWED,true
S,PSO,ALLOWED,ALLOWED,true
S,RA,ALLOWED,ALLOWED,true
S,SC,FORBIDDEN,FORBIDDEN,true
S,TSO,FORBIDDEN,FORBIDDEN,true
S,WEAKEST,ALLOWED,ALLOWED,true
SB+mfences,PSO,FORBIDDEN,FORBIDDEN,true
SB+mfences,RA,ALLOWED,ALLOWED,true
SB+mfences,SC,FORBIDDEN,FORBIDDEN,true
SB+mfences,TSO,FORBIDDEN,FORBIDDEN,true
SB+mfences,WEAKEST,ALLOWED,ALLOWED,true
SB+rmw,PSO,FORBIDDEN,FORBIDDEN,true
SB+rmw,RA,ALLOWED,ALLOWED,true
SB+rmw,SC,FORBIDDEN,FORBIDDEN,true
SB+rmw,TSO,FORBIDDEN,FORBIDDEN,true
SB+rmw,WEAKEST,ALLOWED,ALLOWED,true
SB,PSO,ALLOWED,ALLOWED,true
SB,RA,ALLOWED,ALLOWED,true
SB,SC,FORBIDDEN,FORBIDDEN,true
SB,TSO,ALLOWED,ALLOWED,true
SB,WEAKEST,ALLOWED,ALLOWED,true
WRC,PSO,FORBIDDEN,FORBIDDEN,true
WRC,RA,ALLOWED,ALLOWED,true
WRC,SC,FORBIDDEN,FORBIDDEN,true
WRC,TSO,FORBIDDEN,FORBIDDEN,true
WRC,WEAKEST,ALLOWED,ALLOWED,true
