# Expected Day-9 scalability-consistency projection — snapshot from commit adb65a7.
# Columns: family,n,events,model,verdict  (timing/memory/minwitness columns dropped).
# Verdicts are budget-independent and deterministic; this is what reproduce.sh diffs.
IRIWFan,10,40,PSO,FORBIDDEN
IRIWFan,10,40,RA,ALLOWED
IRIWFan,10,40,SC,FORBIDDEN
IRIWFan,10,40,TSO,FORBIDDEN
IRIWFan,10,40,WEAKEST,ALLOWED
IRIWFan,12,48,PSO,FORBIDDEN
IRIWFan,12,48,RA,ALLOWED
IRIWFan,12,48,SC,FORBIDDEN
IRIWFan,12,48,TSO,FORBIDDEN
IRIWFan,12,48,WEAKEST,ALLOWED
IRIWFan,16,64,PSO,FORBIDDEN
IRIWFan,16,64,RA,ALLOWED
IRIWFan,16,64,SC,FORBIDDEN
IRIWFan,16,64,TSO,FORBIDDEN
IRIWFan,16,64,WEAKEST,ALLOWED
IRIWFan,2,8,PSO,FORBIDDEN
IRIWFan,2,8,RA,ALLOWED
IRIWFan,2,8,SC,FORBIDDEN
IRIWFan,2,8,TSO,FORBIDDEN
IRIWFan,2,8,WEAKEST,ALLOWED
IRIWFan,3,12,PSO,FORBIDDEN
IRIWFan,3,12,RA,ALLOWED
IRIWFan,3,12,SC,FORBIDDEN
IRIWFan,3,12,TSO,FORBIDDEN
IRIWFan,3,12,WEAKEST,ALLOWED
IRIWFan,4,16,PSO,FORBIDDEN
IRIWFan,4,16,RA,ALLOWED
IRIWFan,4,16,SC,FORBIDDEN
IRIWFan,4,16,TSO,FORBIDDEN
IRIWFan,4,16,WEAKEST,ALLOWED
IRIWFan,5,20,PSO,FORBIDDEN
IRIWFan,5,20,RA,ALLOWED
IRIWFan,5,20,SC,FORBIDDEN
IRIWFan,5,20,TSO,FORBIDDEN
IRIWFan,5,20,WEAKEST,ALLOWED
IRIWFan,6,24,PSO,FORBIDDEN
IRIWFan,6,24,RA,ALLOWED
IRIWFan,6,24,SC,FORBIDDEN
IRIWFan,6,24,TSO,FORBIDDEN
IRIWFan,6,24,WEAKEST,ALLOWED
IRIWFan,8,32,PSO,FORBIDDEN
IRIWFan,8,32,RA,ALLOWED
IRIWFan,8,32,SC,FORBIDDEN
IRIWFan,8,32,TSO,FORBIDDEN
IRIWFan,8,32,WEAKEST,ALLOWED
LBChain,10,30,PSO,FORBIDDEN
LBChain,10,30,RA,ALLOWED
LBChain,10,30,SC,FORBIDDEN
LBChain,10,30,TSO,FORBIDDEN
LBChain,10,30,WEAKEST,FORBIDDEN
LBChain,12,36,PSO,FORBIDDEN
LBChain,12,36,RA,ALLOWED
LBChain,12,36,SC,FORBIDDEN
LBChain,12,36,TSO,FORBIDDEN
LBChain,12,36,WEAKEST,FORBIDDEN
LBChain,16,48,PSO,FORBIDDEN
LBChain,16,48,RA,ALLOWED
LBChain,16,48,SC,FORBIDDEN
LBChain,16,48,TSO,FORBIDDEN
LBChain,16,48,WEAKEST,FORBIDDEN
LBChain,2,6,PSO,FORBIDDEN
LBChain,2,6,RA,ALLOWED
