# Expected Day-12 scalability-fences projection — snapshot from commit adb65a7.
# Columns: family,n,events,model,verdict  (timing/memory/minwitness columns dropped).
# Families: SBNThread (fenceless baseline), SBChainMfence (FULL fence/thread), RMWChain (atomic-increment chain).
RMWChain,10,11,PSO,ALLOWED
RMWChain,10,11,RA,ALLOWED
RMWChain,10,11,SC,ALLOWED
RMWChain,10,11,TSO,ALLOWED
RMWChain,10,11,WEAKEST,ALLOWED
RMWChain,12,13,PSO,ALLOWED
RMWChain,12,13,RA,ALLOWED
RMWChain,12,13,SC,ALLOWED
RMWChain,12,13,TSO,ALLOWED
RMWChain,12,13,WEAKEST,ALLOWED
RMWChain,16,17,PSO,ALLOWED
RMWChain,16,17,RA,ALLOWED
RMWChain,16,17,SC,ALLOWED
RMWChain,16,17,TSO,ALLOWED
RMWChain,16,17,WEAKEST,ALLOWED
RMWChain,2,3,PSO,ALLOWED
RMWChain,2,3,RA,ALLOWED
RMWChain,2,3,SC,ALLOWED
RMWChain,2,3,TSO,ALLOWED
RMWChain,2,3,WEAKEST,ALLOWED
RMWChain,3,4,PSO,ALLOWED
RMWChain,3,4,RA,ALLOWED
RMWChain,3,4,SC,ALLOWED
RMWChain,3,4,TSO,ALLOWED
RMWChain,3,4,WEAKEST,ALLOWED
RMWChain,4,5,PSO,ALLOWED
RMWChain,4,5,RA,ALLOWED
RMWChain,4,5,SC,ALLOWED
RMWChain,4,5,TSO,ALLOWED
RMWChain,4,5,WEAKEST,ALLOWED
RMWChain,5,6,PSO,ALLOWED
RMWChain,5,6,RA,ALLOWED
RMWChain,5,6,SC,ALLOWED
RMWChain,5,6,TSO,ALLOWED
RMWChain,5,6,WEAKEST,ALLOWED
RMWChain,6,7,PSO,ALLOWED
RMWChain,6,7,RA,ALLOWED
RMWChain,6,7,SC,ALLOWED
RMWChain,6,7,TSO,ALLOWED
RMWChain,6,7,WEAKEST,ALLOWED
RMWChain,8,9,PSO,ALLOWED
RMWChain,8,9,RA,ALLOWED
RMWChain,8,9,SC,ALLOWED
RMWChain,8,9,TSO,ALLOWED
RMWChain,8,9,WEAKEST,ALLOWED
SBChainMfence,10,40,PSO,FORBIDDEN
SBChainMfence,10,40,RA,ALLOWED
SBChainMfence,10,40,SC,FORBIDDEN
SBChainMfence,10,40,TSO,FORBIDDEN
SBChainMfence,10,40,WEAKEST,ALLOWED
SBChainMfence,12,48,PSO,FORBIDDEN
SBChainMfence,12,48,RA,ALLOWED
SBChainMfence,12,48,SC,FORBIDDEN
SBChainMfence,12,48,TSO,FORBIDDEN
SBChainMfence,12,48,WEAKEST,ALLOWED
SBChainMfence,16,64,PSO,FORBIDDEN
SBChainMfence,16,64,RA,ALLOWED
SBChainMfence,16,64,SC,FORBIDDEN
SBChainMfence,16,64,TSO,FORBIDDEN
SBChainMfence,16,64,WEAKEST,ALLOWED
SBChainMfence,2,8,PSO,FORBIDDEN
SBChainMfence,2,8,RA,ALLOWED
SBChainMfence,2,8,SC,FORBIDDEN
SBChainMfence,2,8,TSO,FORBIDDEN
SBChainMfence,2,8,WEAKEST,ALLOWED
SBChainMfence,3,12,PSO,FORBIDDEN
SBChainMfence,3,12,RA,ALLOWED
SBChainMfence,3,12,SC,FORBIDDEN
SBChainMfence,3,12,TSO,FORBIDDEN
SBChainMfence,3,12,WEAKEST,ALLOWED
SBChainMfence,4,16,PSO,FORBIDDEN
SBChainMfence,4,16,RA,ALLOWED
SBChainMfence,4,16,SC,FORBIDDEN
